#,Quality,Coverage,Description
1,58.83428,13%,MONTH = 6 $\wedge$ CRS_ARR_TIME_DELTA > 960.50000
2,48.52098,48%,CRS_ARR_TIME_DELTA > 717.50000 $\wedge$ MONTH != 4 $\wedge$ MONTH != 5
3,42.61235,63%,MONTH != 5 $\wedge$ MONTH != 4 $\wedge$ CRS_DEP_TIME_DELTA < 1244.50000
4,36.56328,3%,CRS_ARR_TIME_DELTA > 1270.00000 $\wedge$ DISTANCE > 1204.50000
5,40.1285,21%,CRS_DEP_TIME_DELTA < 1021.50000 $\wedge$ MONTH != 4 $\wedge$ CRS_ARR_TIME_DELTA > 948.50000
6,31.97935,16%,CRS_ELAPSED_TIME > 167.50000 $\wedge$ CRS_DEP_TIME_DELTA < 1021.50000 $\wedge$ MONTH != 5
7,23.36949,6%,MONTH != 5 $\wedge$ MONTH != 7 $\wedge$ CRS_DEP_TIME_DELTA > 1118.00000 $\wedge$ DISTANCE < 1182.00000
8,42.23905,64%,MONTH != 5 $\wedge$ MONTH != 4 $\wedge$ CRS_DEP_TIME_DELTA < 1257.00000
9,18.1901,7%,MONTH != 4 $\wedge$ CRS_ARR_TIME_DELTA < 1347.00000 $\wedge$ MONTH != 7 $\wedge$ CRS_DEP_TIME_DELTA > 1069.00000
10,31.81473,17%,CRS_DEP_TIME_DELTA < 1021.50000 $\wedge$ CRS_ARR_TIME_DELTA > 1018.50000
11,34.61303,20%,MONTH != 5 $\wedge$ CRS_ARR_TIME_DELTA > 1148.00000 $\wedge$ CRS_DEP_TIME_DELTA > 885.00000
12,30.8757,17%,CRS_ELAPSED_TIME > 167.50000 $\wedge$ CRS_DEP_TIME_DELTA < 1021.50000 $\wedge$ MONTH != 4
13,26.26462,63%,CRS_ARR_TIME_DELTA > 717.50000 $\wedge$ MONTH != 4 $\wedge$ CRS_DEP_TIME_DELTA < 1248.50000
14,31.28458,40%,MONTH != 5 $\wedge$ CRS_DEP_TIME_DELTA > 801.50000
15,21.14872,81%,MONTH != 5
16,29.1251,11%,CRS_ARR_TIME_DELTA > 1270.00000 $\wedge$ MONTH != 4
17,16.02855,83%,MONTH != 4
18,29.75079,15%,DISTANCE > 1086.50000 $\wedge$ CRS_DEP_TIME_DELTA < 988.50000 $\wedge$ MONTH != 5
19,30.39008,50%,MONTH != 5 $\wedge$ CRS_ARR_TIME_DELTA > 831.50000
20,25.83078,63%,CRS_ARR_TIME_DELTA > 717.50000 $\wedge$ MONTH != 4
21,22.78413,20%,CRS_ELAPSED_TIME > 167.50000 $\wedge$ CRS_DEP_TIME_DELTA < 1021.50000
22,24.59715,60%,CRS_ARR_TIME_DELTA > 717.50000 $\wedge$ MONTH != 5
23,47.67866,28%,MONTH != 5 $\wedge$ MONTH != 4 $\wedge$ CRS_DEP_TIME_DELTA < 1257.00000 $\wedge$ MONTH != 7
24,22.08503,7%,MONTH != 5 $\wedge$ MONTH != 7 $\wedge$ CRS_DEP_TIME_DELTA > 1118.00000
25,42.14336,64%,MONTH != 5 $\wedge$ CRS_DEP_TIME_DELTA < 1305.00000 $\wedge$ MONTH != 4
