#,quality,Coverage,Description
1,767,35%,CRS_ELAPSED_TIME < 384.00000 $\wedge$ MONTH != 5 $\wedge$ CRS_DEP_TIME_DELTA > 823.00000
2,732,49%,CRS_DEP_TIME_DELTA > 803.00000
3,594,60%,CRS_DEP_TIME_DELTA > 687.50000
4,342,9%,DISTANCE > 1409.00000 $\wedge$ CRS_ELAPSED_TIME < 397.50000 $\wedge$ MONTH != 5
5,654,45%,CRS_DEP_TIME_DELTA > 687.50000 $\wedge$ MONTH != 5
6,247,35%,DISTANCE > 887.50000
7,736,48%,CRS_DEP_TIME_DELTA > 813.00000
8,375,47%,CRS_ARR_TIME_DELTA > 717.50000 $\wedge$ CRS_DEP_TIME_DELTA < 1373.00000 $\wedge$ MONTH != 5
9,154,27%,MONTH = 7
10,293,15%,CRS_ELAPSED_TIME < 324.00000 $\wedge$ DISTANCE > 1180.50000
11,152,53%,MONTH != 5 $\wedge$ MONTH != 4
12,295,62%,CRS_ARR_TIME_DELTA > 717.50000 $\wedge$ CRS_DEP_TIME_DELTA < 1373.00000
13,140,44%,DAY_OF_WEEK > 3.50000 $\wedge$ MONTH != 5
14,134,76%,MONTH != 5
15,738,42%,CRS_ELAPSED_TIME < 371.50000 $\wedge$ CRS_DEP_TIME_DELTA > 883.00000
16,316,12%,CRS_ELAPSED_TIME < 324.00000 $\wedge$ DISTANCE > 1367.00000
17,295,62%,CRS_ARR_TIME_DELTA > 717.50000
18,67,57%,DAY_OF_WEEK > 3.50000
19,595,6%,CRS_ARR_TIME_DELTA < 185.00000
20,314,13%,CRS_ELAPSED_TIME < 324.00000 $\wedge$ DISTANCE > 1254.00000
21,474,52%,CRS_ARR_TIME_DELTA > 843.00000
22,60,26%,MONTH = 6
23,271,11%,CRS_ELAPSED_TIME > 200.00000 $\wedge$ CRS_ELAPSED_TIME < 324.00000
24,621,11%,CRS_DEP_TIME_DELTA > 1240.00000
25,486,51%,CRS_ARR_TIME_DELTA > 846.50000
