#,quality,Coverage,Description
1,1228,18%,YEAR != 2018 $\wedge$ CRS_DEP_TIME_DELTA > 816.5 $\wedge$ YEAR != 2020
2,1114,18%,CRS_DEP_TIME_DELTA > 712.5 $\wedge$ YEAR != 2020
3,757,28%,YEAR = 2022 $\wedge$ MONTH != 5
4,721,42%,CRS_DEP_TIME_DELTA > 886
5,789,49%,CRS_ARR_TIME_DELTA > 717.5 $\wedge$ YEAR != 2020
6,548,76%,YEAR != 2020
7,708,49%,CRS_DEP_TIME_DELTA > 813
8,716,38%,YEAR = 2022
9,600,59%,CRS_DEP_TIME_DELTA > 712.5
10,576,58%,YEAR != 2020 $\wedge$ MONTH != 5
11,227,12%,DISTANCE > 1409 $\wedge$ MONTH != 5
12,407,56%,CRS_ARR_TIME_DELTA > 829
13,211,16%,DISTANCE > 1409 $\wedge$ CRS_ELAPSED_TIME < 395.5
14,262,51%,CRS_ARR_TIME_DELTA > 717.5 $\wedge$ MONTH != 5
15,236,66%,CRS_ARR_TIME_DELTA > 717.5
16,86,44%,DAY_OF_WEEK > 3.5 $\wedge$ MONTH != 5
17,195,15%,CRS_ELAPSED_TIME > 200 $\wedge$ CRS_ELAPSED_TIME < 398.5
18,78,30%,YEAR = 2018 $\wedge$ MONTH != 4
19,716,3%,YEAR != 2018 $\wedge$ CRS_DEP_TIME_DELTA > 1046 $\wedge$ CRS_ARR_TIME_DELTA < 913
20,64,29%,MONTH = 7
21,79,16%,DAY_OF_WEEK > 3.5 $\wedge$ MONTH != 5 $\wedge$ YEAR != 2018 $\wedge$ MONTH != 7
22,69,77%,MONTH != 5
23,861,23%,CRS_ARR_TIME_DELTA > 717.5 $\wedge$ YEAR = 2022
24,65,29%,YEAR = 2018 $\wedge$ MONTH != 6
25,424,55%,CRS_ARR_TIME_DELTA > 843
