,#,quality,Average delay (min.),Coverage,Description
0,1,767,9.7,35%,CRS_ELAPSED_TIME < 384.00000 $\wedge$ MONTH != 5 $\wedge$ CRS_DEP_TIME_DELTA > 823.00000
1,2,732,9.1,49%,CRS_DEP_TIME_DELTA > 803.00000
2,3,594,8.3,60%,CRS_DEP_TIME_DELTA > 687.50000
3,4,342,9.3,9%,DISTANCE > 1409.00000 $\wedge$ CRS_ELAPSED_TIME < 397.50000 $\wedge$ MONTH != 5
4,5,654,8.9,45%,CRS_DEP_TIME_DELTA > 687.50000 $\wedge$ MONTH != 5
5,6,247,7.4,35%,DISTANCE > 887.50000
6,7,736,9.1,48%,CRS_DEP_TIME_DELTA > 813.00000
7,8,375,7.7,47%,CRS_ARR_TIME_DELTA > 717.50000 $\wedge$ CRS_DEP_TIME_DELTA < 1373.00000 $\wedge$ MONTH != 5
8,9,154,7,27%,MONTH = 7
9,10,293,8.3,15%,CRS_ELAPSED_TIME < 324.00000 $\wedge$ DISTANCE > 1180.50000
10,11,152,6.8,53%,MONTH != 5 $\wedge$ MONTH != 4
11,12,295,7.2,62%,CRS_ARR_TIME_DELTA > 717.50000 $\wedge$ CRS_DEP_TIME_DELTA < 1373.00000
12,13,140,6.8,44%,DAY_OF_WEEK > 3.50000 $\wedge$ MONTH != 5
13,14,134,6.6,76%,MONTH != 5
14,15,738,9.3,42%,CRS_ELAPSED_TIME < 371.50000 $\wedge$ CRS_DEP_TIME_DELTA > 883.00000
15,16,316,8.7,12%,CRS_ELAPSED_TIME < 324.00000 $\wedge$ DISTANCE > 1367.00000
16,17,295,7.2,62%,CRS_ARR_TIME_DELTA > 717.50000
17,18,67,6.5,57%,DAY_OF_WEEK > 3.50000
18,19,595,12.7,6%,CRS_ARR_TIME_DELTA < 185.00000
19,20,314,8.6,13%,CRS_ELAPSED_TIME <324.00000 $\wedge$ DISTANCE >1254.00000
20,21,474,8,52%,CRS_ARR_TIME_DELTA > 843.00000
21,22,60,6.5,26%,MONTH = 6
22,23,271,8.5,11%,CRS_ELAPSED_TIME > 200.00000 $\wedge$ CRS_ELAPSED_TIME < 324.00000
23,24,621,11.3,11%,CRS_DEP_TIME_DELTA > 1240.00000
24,25,486,8.1,51%,CRS_ARR_TIME_DELTA > 846.50000
,,,8.3,38%,
