,#,quality,Average delay (min.),STD,Coverage,Description
0,1,403,5.9791852778274075,19.71582158089874,49%,CRS_ELAPSED_TIME < 299.00000 $\wedge$ CRS_DEP_TIME_DELTA > 815.00000
1,2,371,5.720926527360745,19.861117361967047,59%,CRS_DEP_TIME_DELTA > 712.50000
2,3,172,6.313866858928142,24.410423744315775,6%,MONTH != 4 $\wedge$ DISTANCE > 1709.00000 $\wedge$ CRS_ELAPSED_TIME < 299.00000
3,4,316,5.588063927686569,20.06204108233882,53%,CRS_ELAPSED_TIME < 299.00000 $\wedge$ CRS_ARR_TIME_DELTA > 845.00000
4,5,148,5.568229699632818,22.29584846186496,12%,DISTANCE > 1148.50000 $\wedge$ MONTH != 4 $\wedge$ MONTH != 5
5,6,214,5.140601469960217,19.55511990390241,65%,CRS_ARR_TIME_DELTA > 717.50000
6,7,177,7.055334218680832,17.395745094957896,3%,CRS_DEP_TIME_DELTA > 1313.00000 $\wedge$ CRS_ARR_TIME_DELTA < 872.50000
7,8,138,5.269890620317651,21.6514493069716,19%,DISTANCE > 1355.50000
8,9,394,6.043626148613203,19.64380381076711,43%,CRS_DEP_TIME_DELTA > 885.00000
9,10,64,4.763960241232969,19.257565960133768,26%,MONTH != 6 $\wedge$ MONTH != 4 $\wedge$ DISTANCE < 2201.50000 $\wedge$ MONTH != 5
10,11,131,5.16405108329627,21.31799996129653,23%,DISTANCE > 1148.50000
11,12,313,5.574855709585199,20.03437322515125,54%,CRS_ARR_TIME_DELTA > 846.50000
12,13,48,4.689068322981367,18.916037732432756,23%,DAY_OF_WEEK < 3.50000 $\wedge$ MONTH != 4 $\wedge$ MONTH != 6 $\wedge$ DISTANCE < 2201.50000
13,14,110,5.027966583824894,21.282928507377036,24%,CRS_ELAPSED_TIME > 172.50000
14,15,64,4.761637955064949,19.24576106261339,26%,MONTH = 7
15,16,169,6.724253108183336,16.928395424928045,4%,CRS_DEP_TIME_DELTA > 1313.00000 $\wedge$ CRS_ARR_TIME_DELTA < 1403.00000
16,17,41,4.613119834710743,18.688810114305166,34%,DAY_OF_WEEK < 3.50000 $\wedge$ MONTH != 4
17,18,402,5.970350245112516,19.707794995271023,49%,CRS_DEP_TIME_DELTA > 816.50000
18,19,34,4.551806716735157,18.870697751768883,51%,MONTH != 4 $\wedge$ MONTH != 5
19,20,39,4.5713754487335345,18.923829527642948,51%,MONTH != 6 $\wedge$ MONTH != 4 $\wedge$ DISTANCE < 2201.50000
20,21,19,4.497467527755606,19.117268513504868,50%,MONTH != 5 $\wedge$ MONTH != 6 $\wedge$ DISTANCE < 2177.00000
21,22,39,4.570053552302749,18.913676514430357,51%,MONTH != 4 $\wedge$ MONTH != 6
22,23,111,5.122612985359644,21.598709252355317,18%,CRS_ELAPSED_TIME > 172.50000 $\wedge$ MONTH != 5
23,24,19,4.4957252572091,19.10887072952674,50%,MONTH != 6 $\wedge$ MONTH != 5
24,25,22,4.492126698560938,18.7689480928998,76%,MONTH != 4
