,#,Quality,Average delay (min.),STD,Coverage,Description
0,1,58.83428,1.4015548725366118,9.135680267081216,13%,MONTH = 6 $\wedge$ CRS_ARR_TIME_DELTA > 960.50000
1,2,48.52098,1.0851175851175852,8.333643758738953,48%,CRS_ARR_TIME_DELTA > 717.50000 $\wedge$ MONTH != 4 $\wedge$ MONTH != 5
2,3,42.61235,1.0273988133479461,8.500726936771725,63%,MONTH != 5 $\wedge$ MONTH != 4 $\wedge$ CRS_DEP_TIME_DELTA < 1244.50000
3,4,36.56328,1.5330239200285611,9.237717623328619,3%,CRS_ARR_TIME_DELTA > 1270.00000 $\wedge$ DISTANCE > 1204.50000
4,5,40.1285,1.1436797832100718,8.596781946310776,21%,CRS_DEP_TIME_DELTA < 1021.50000 $\wedge$ MONTH != 4 $\wedge$ CRS_ARR_TIME_DELTA > 948.50000
5,6,31.97935,1.1190047961630696,9.228465864198517,16%,CRS_ELAPSED_TIME > 167.50000 $\wedge$ CRS_DEP_TIME_DELTA < 1021.50000 $\wedge$ MONTH != 5
6,7,23.36949,1.1601258793039615,8.023046916281148,6%,MONTH != 5 $\wedge$ MONTH != 7 $\wedge$ CRS_DEP_TIME_DELTA > 1118.00000 $\wedge$ DISTANCE < 1182.00000
7,8,42.23905,1.0253026543349124,8.483821200186288,64%,MONTH != 5 $\wedge$ MONTH != 4 $\wedge$ CRS_DEP_TIME_DELTA < 1257.00000
8,9,18.1901,1.0728647257519703,7.80670594441597,7%,MONTH != 4 $\wedge$ CRS_ARR_TIME_DELTA < 1347.00000 $\wedge$ MONTH != 7 $\wedge$ CRS_DEP_TIME_DELTA > 1069.00000
9,10,31.81473,1.1103610005685047,8.479741749505513,17%,CRS_DEP_TIME_DELTA < 1021.50000 $\wedge$ CRS_ARR_TIME_DELTA > 1018.50000
10,11,34.61303,1.1102910291029102,7.772421938633892,20%,MONTH != 5 $\wedge$ CRS_ARR_TIME_DELTA > 1148.00000 $\wedge$ CRS_DEP_TIME_DELTA > 885.00000
11,12,30.8757,1.1042958051030705,9.158070627624529,17%,CRS_ELAPSED_TIME > 167.50000 $\wedge$ CRS_DEP_TIME_DELTA < 1021.50000 $\wedge$ MONTH != 4
12,13,26.26462,0.9567759011367748,7.832606190096692,63%,CRS_ARR_TIME_DELTA > 717.50000 $\wedge$ MONTH != 4 $\wedge$ CRS_DEP_TIME_DELTA < 1248.50000
13,14,31.28458,1.013746428034291,7.828712240669086,40%,MONTH != 5 $\wedge$ CRS_DEP_TIME_DELTA > 801.50000
14,15,21.14872,0.9236304825212178,7.950986741522273,81%,MONTH != 5
15,16,29.1251,1.140356394129979,7.752480929397569,11%,CRS_ARR_TIME_DELTA > 1270.00000 $\wedge$ MONTH != 4
16,17,16.02855,0.9029415147507045,7.905417956676595,83%,MONTH != 4
17,18,29.75079,1.106871437618746,9.233825644183048,15%,DISTANCE > 1086.50000 $\wedge$ CRS_DEP_TIME_DELTA < 988.50000 $\wedge$ MONTH != 5
18,19,30.39008,0.9910907257096201,7.680018099032745,50%,MONTH != 5 $\wedge$ CRS_ARR_TIME_DELTA > 831.50000
19,20,25.83078,0.9546869070208729,7.820608393239633,63%,CRS_ARR_TIME_DELTA > 717.50000 $\wedge$ MONTH != 4
20,21,22.78413,1.0181330152102595,8.774680526757543,20%,CRS_ELAPSED_TIME > 167.50000 $\wedge$ CRS_DEP_TIME_DELTA < 1021.50000
21,22,24.59715,0.9518657013286658,7.73957972252993,60%,CRS_ARR_TIME_DELTA > 717.50000 $\wedge$ MONTH != 5
22,23,47.67866,1.1534592267360075,8.832112123902007,28%,MONTH != 5 $\wedge$ MONTH != 4 $\wedge$ CRS_DEP_TIME_DELTA < 1257.00000 $\wedge$ MONTH != 7
23,24,22.08503,1.1221275911939579,7.711938327848037,7%,MONTH != 5 $\wedge$ MONTH != 7 $\wedge$ CRS_DEP_TIME_DELTA > 1118.00000
24,25,42.14336,1.0248379520901831,8.481546404964886,64%,MONTH != 5 $\wedge$ CRS_DEP_TIME_DELTA < 1305.00000 $\wedge$ MONTH != 4
