,#,Qualiy,Average delay (min.),Coverage,Description
0,1,747,9.758774004351528,31%,MONTH != 5 $\wedge$ CRS_DEP_TIME_DELTA > 891.00000
1,2,719,8.963800411394377,47%,CRS_DEP_TIME_DELTA > 817.00000
2,3,581,8.163109043011547,60%,CRS_DEP_TIME_DELTA > 687.50000
3,4,339,9.177636925077199,9%,DISTANCE > 1409.00000 $\wedge$ CRS_ELAPSED_TIME < 398.50000 $\wedge$ MONTH != 5
4,5,636,8.690863274264347,45%,CRS_DEP_TIME_DELTA > 687.50000 $\wedge$ MONTH != 5
5,6,302,8.364179595416918,13%,CRS_ELAPSED_TIME < 324.00000 $\wedge$ DISTANCE > 1225.50000
6,7,214,7.861292234736218,11%,DAY_OF_MONTH < 15.50000 $\wedge$ MONTH = 4 $\wedge$ DISTANCE < 2462.00000
7,8,713,8.973491014714801,46%,CRS_DEP_TIME_DELTA > 832.00000
8,9,208,7.28109291639683,24%,DAY_OF_MONTH < 15.50000 $\wedge$ MONTH != 7 $\wedge$ MONTH != 5
9,10,318,8.220507022655129,17%,CRS_ARR_TIME_DELTA > 717.50000 $\wedge$ MONTH = 7
10,11,139,6.84466097170315,28%,MONTH = 7
11,12,288,7.113841791221126,63%,CRS_ARR_TIME_DELTA > 717.50000 $\wedge$ CRS_DEP_TIME_DELTA < 1373.00000
12,13,145,6.665849095822074,53%,MONTH != 5 $\wedge$ MONTH != 4
13,14,303,8.482785744539239,12%,DISTANCE > 1409.00000 $\wedge$ CRS_ELAPSED_TIME < 398.50000
14,15,133,6.673830250272035,43%,DAY_OF_WEEK > 3.50000 $\wedge$ MONTH != 5 $\wedge$ DISTANCE < 2202.50000
15,16,288,7.113490085855664,63%,CRS_ARR_TIME_DELTA > 717.50000
16,17,588,12.520497630331754,6%,CRS_ARR_TIME_DELTA < 187.00000
17,18,90,6.534403955623883,36%,DAY_OF_MONTH < 15.50000 $\wedge$ MONTH != 7
18,19,129,6.526939686686618,76%,MONTH != 5
19,20,270,8.351165794303583,11%,CRS_ELAPSED_TIME > 200.00000 $\wedge$ CRS_ELAPSED_TIME < 332.50000
20,21,473,7.924022653067121,51%,CRS_ARR_TIME_DELTA > 846.50000
21,22,62,6.348333919293722,57%,DAY_OF_WEEK > 3.50000
22,23,612,11.142626697136713,11%,CRS_DEP_TIME_DELTA > 1240.00000
23,24,270,8.350237933378654,11%,CRS_ELAPSED_TIME > 200.00000 $\wedge$ CRS_ELAPSED_TIME < 324.00000
24,25,212,7.8399685699319015,11%,DAY_OF_MONTH < 15.50000 $\wedge$ MONTH = 4
