#,quality,Coverage,Description
1,464,26%,DAY_OF_MONTH > 15.50000 $\wedge$ CRS_DEP_TIME_DELTA > 801.50000
2,401,48%,CRS_DEP_TIME_DELTA > 826.50000
3,364,59%,CRS_DEP_TIME_DELTA > 712.50000
4,233,2%,DAY_OF_MONTH > 15.50000 $\wedge$ MONTH != 5 $\wedge$ DISTANCE > 1603.00000 $\wedge$ MONTH != 4 $\wedge$ CRS_ELAPSED_TIME < 279.00000
5,191,38%,DAY_OF_MONTH > 15.50000 $\wedge$ MONTH != 5
6,173,6%,MONTH != 4 $\wedge$ DISTANCE > 1709.00000 $\wedge$ CRS_ELAPSED_TIME < 299.00000
7,307,54%,CRS_ARR_TIME_DELTA > 846.50000
8,145,17%,DISTANCE > 1148.50000 $\wedge$ MONTH != 4
9,157,51%,DAY_OF_MONTH > 15.50000
10,210,65%,CRS_ARR_TIME_DELTA > 717.50000
11,161,3%,CRS_DEP_TIME_DELTA > 1320.50000 $\wedge$ CRS_ARR_TIME_DELTA < 789.00000
12,134,23%,DISTANCE > 1148.50000
13,190,14%,DAY_OF_MONTH > 15.50000 $\wedge$ MONTH = 7
14,395,49%,CRS_DEP_TIME_DELTA > 816.50000
15,62,26%,MONTH != 4 $\wedge$ MONTH != 6 $\wedge$ DISTANCE < 2201.50000 $\wedge$ MONTH != 5
16,114,24%,CRS_ELAPSED_TIME > 172.50000
17,31,12%,DAY_OF_WEEK < 3.50000 $\wedge$ MONTH = 5
18,392,45%,CRS_ELAPSED_TIME < 299.00000 $\wedge$ CRS_DEP_TIME_DELTA > 862.00000
19,61,26%,MONTH = 7
20,37,51%,MONTH != 4 $\wedge$ MONTH != 6 $\wedge$ DISTANCE < 2201.50000
21,32,51%,MONTH != 4 $\wedge$ MONTH != 5
22,150,13%,DISTANCE > 1530.00000
23,326,50%,CRS_ELAPSED_TIME < 299.00000 $\wedge$ CRS_ARR_TIME_DELTA > 892.00000
24,19,50%,MONTH != 6 $\wedge$ MONTH != 5
25,34,34%,DAY_OF_WEEK < 3.50000 $\wedge$ MONTH != 4
